id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,Ethnicity (Simplified),First Language,Nationality,Sex,Student Status
hbrse50uqs49wvlhteh7tfi0,APPROVED,2021-01-16T16:21:08Z,2021-01-16T16:28:12Z,424.086,20,31,0,100,2021-01-17T01:28:10Z,684BBD13,United States,United States,Full-Time,White,NA,United States,Female,No
rwzjaafhvzw0fq8paa5wr3ip,APPROVED,2021-01-16T16:20:39Z,2021-01-16T16:38:44Z,1085.023,59,840,2,100,2021-01-17T01:28:05Z,684BBD13,United States,United States,Full-Time,White,English,United States,Male,No
4omynnrowqjgloi9imrg7389,APPROVED,2021-01-16T16:20:44Z,2021-01-16T16:29:10Z,506.514,44,46,0,100,2021-01-17T01:28:11Z,684BBD13,United States,United States,Part-Time,White,DATA EXPIRED,United States,Female,No
23o3p9q1egdg7owttlhlcyjs,APPROVED,2021-01-16T16:25:46Z,2021-01-16T16:52:59Z,1633.08,35,299,1,100,2021-01-17T01:28:13Z,684BBD13,United States,United States,Full-Time,White,DATA EXPIRED,United States,Male,No
we18sg1prjcwr65epc33wtjb,APPROVED,2021-01-16T16:20:49Z,2021-01-16T16:24:46Z,237.656,59,676,1,100,2021-01-17T01:28:14Z,684BBD13,United States,United States,Other,White,English,United States,Female,No
q6ife9jsupnarg979h7vkhoe,APPROVED,2021-01-16T16:20:53Z,2021-01-16T16:25:01Z,248.376,21,178,1,100,2021-01-17T01:28:17Z,684BBD13,United States,United States,Part-Time,White,DATA EXPIRED,United States,Female,Yes
vrz6ye6y77yg3ekf90r7pc8y,APPROVED,2021-01-16T16:20:52Z,2021-01-16T16:23:36Z,164.868,56,525,1,100,2021-01-17T01:28:19Z,684BBD13,United States,United States,Full-Time,White,English,United States,Female,No
rpa1angxvjf8cifbkypnpa07,APPROVED,2021-01-16T16:20:59Z,2021-01-16T16:26:18Z,318.937,57,699,1,100,2021-01-17T01:28:24Z,684BBD13,United States,United States,Full-Time,White,English,United States,Male,No
s51hsiex1p27psby8s1y0xwu,APPROVED,2021-01-16T16:21:10Z,2021-01-16T16:38:11Z,1021.689,47,179,0,100,2021-01-17T01:28:24Z,684BBD13,United States,United States,Full-Time,White,DATA EXPIRED,United States,Female,No
2upnqormpdcm5icl6w3yuqyd,APPROVED,2021-01-16T16:20:57Z,2021-01-16T16:24:58Z,240.75,55,118,0,100,2021-01-17T01:28:21Z,684BBD13,United States,United States,Part-Time,White,DATA EXPIRED,United States,Female,No
