id,sample,action,assigned,q1_1,q1_2,q1_3,q2,q3,action_text
5,with_degree,4,0,NA,NA,NA,NA,NA,hold meetings to inform the public
5,with_degree,5,0,NA,NA,NA,NA,NA,hold meetings to influence the public
5,with_degree,6,0,NA,NA,NA,NA,NA,make a public speech
5,with_degree,7,0,NA,NA,NA,NA,NA,"get involved in the media (e.g., newspapers, radio, television) to inform the public"
5,with_degree,8,0,NA,NA,NA,NA,NA,"get involved in the media (e.g., newspapers, radio, television) to influence the public"
5,with_degree,9,0,NA,NA,NA,NA,NA,"use social media (e.g., Facebook, Twitter, Instagram) to inform the public"
5,with_degree,10,0,NA,NA,NA,NA,NA,"use social media (e.g., Facebook, Twitter, Instagram) to influence the public"
5,with_degree,11,0,NA,NA,NA,NA,NA,"pay for adverts on social media (e.g., Facebook, Twitter, Instagram) to influence public opinion"
5,with_degree,12,0,NA,NA,NA,NA,NA,"pay for adverts in the media (e.g., newspapers, radio, television) to influence public opinion"
5,with_degree,13,1,2,1,1,4,4,"visit people in their homes to inform them about an issue (canvassing, door knocking)"
5,with_degree,14,0,NA,NA,NA,NA,NA,"visit people in their homes to convince them about an issue (canvassing, door knocking)"
5,with_degree,15,1,4,1,4,1,5,spread misinformation to influence public opinion
5,with_degree,16,0,NA,NA,NA,NA,NA,spread rumours about politicians who oppose the cause
5,with_degree,17,1,1,1,1,3,2,wear or display political symbols
5,with_degree,18,1,1,1,1,5,1,"refuse to honour national symbols and traditions (e.g., refusing to sing the national anthem)"
5,with_degree,19,0,NA,NA,NA,NA,NA,deface flags or other national symbols
5,with_degree,20,0,NA,NA,NA,NA,NA,attend or organise a protest march
