id,sample,gender,q2,q3,q4,q4_1_text,q5,q6,q8,q9,q10,q12_1,q12_2,q12_3,q13_1,q13_2,q13_3,exclude
fwrw4od4um8nbujzluopgqbe,WJ,male,Male,44,0,NA,0,1,NA,3,5,6,6,2,2,5,4,TRUE
t7qfti7lz4zwuyifilruqdrm,PJ,female,Female,59,0,NA,0,1,NA,2,3,7,7,6,6,7,4,TRUE
ni04m6rnzzxhijbcty2xyeri,PJ,female,female,41,0,NA,0,1,NA,2,4,6,6,6,3,2,2,TRUE
1g6pst4s19ztl99ie16259dd,PJ,female,F,25,0,NA,0,1,NA,2,2,7,7,7,1,1,1,TRUE
ts8ukeptdgttnpia38tdtwv2,PJ,male,male,51,0,NA,0,1,NA,2,4,4,4,4,5,6,4,TRUE
9p0tvkx4jftxsk8kcl43nbpc,PJ,male,Male,26,0,NA,0,1,NA,2,4,4,4,4,1,2,1,TRUE
l8da1hl8j0f2v7vu32kc7xnw,WJ,male,Male,32,0,NA,0,1,NA,1,4,7,6,4,6,5,2,TRUE
stj7pak2wyws3f5mlydrbv3y,PJ,male,male,30,0,NA,0,1,NA,2,3,4,4,2,2,2,2,TRUE
wcy6awmdkh5gy7i9emphw522,WJ,female,female,44,0,NA,0,1,NA,1,4,3,3,3,4,4,4,TRUE
lz3463yeuar0f0gka4k97ty3,WJ,female,female,33,0,NA,0,0,3,NA,4,4,4,4,4,4,4,TRUE
vjbuowyatut332k2eepgt80u,WJ,male,Male,31,0,NA,0,1,NA,1,5,1,1,1,2,3,4,TRUE
1m75oyrf917urhqlv0ox82rx,PJ,female,Female,37,0,NA,0,1,NA,2,5,4,6,3,3,2,2,TRUE
01mnk09t6dk96rndvy709xla,WJ,female,Female,55,0,NA,0,0,1,NA,4,4,3,3,4,4,5,TRUE
s4w68jxe3dc5tg07a5b8r56t,PJ,male,Male,34,0,NA,0,1,NA,3,3,4,4,2,4,4,2,TRUE
1m6frjxrofqf7wrhmuan374v,PJ,female,female,31,0,NA,0,1,NA,2,3,4,4,3,3,3,3,TRUE
3w5xc66fwcsdmg3niwwtv07z,PJ,female,Female,52,0,NA,0,1,NA,2,4,4,4,4,3,3,4,TRUE
in6088mt9a64c52mafux4j8u,WJ,male,Male,57,0,NA,0,0,1,NA,4,6,6,4,4,4,4,TRUE
ersypyc5sm51dyqmqe5sm8ar,WJ,female,Female,64,0,NA,0,0,1,NA,4,4,3,3,5,5,5,TRUE
zxdxipyiewwf5r3rl6kftt4e,PJ,female,Female,26,0,NA,0,1,NA,2,1,4,4,4,3,3,3,TRUE
xn37m7hudlx9t7a2117wthx3,WJ,female,Female,56,0,NA,0,0,2,NA,5,5,5,5,4,4,4,TRUE
1kl52xlilvf0yma7xvw69pcl,WJ,male,Male,33,0,NA,0,0,3,NA,7,2,3,1,6,7,7,TRUE
k5gi4xyc2ecwxbq86x5yj7t7,PJ,female,Female,34,0,NA,0,1,NA,2,5,6,6,6,2,2,1,TRUE
0h5qu5s4hzmq5ss4m8e2zjc1,WJ,female,Female,26,0,NA,0,1,NA,1,4,4,4,4,4,7,7,TRUE
wzqp0n6mzhm4w1ih3hcwr10d,PJ,female,Female,34,1,Uk,0,1,NA,2,4,7,7,5,4,3,3,FALSE
bwnnxjsqt9lq39tqrtfim1fy,PJ,female,female,38,0,NA,0,1,NA,1,3,6,7,7,1,1,1,TRUE
6gqb55er4hz4qm50d4qyloli,PJ,female,Female,40,0,NA,0,1,NA,2,1,6,2,2,2,2,2,TRUE
bxin8bu5w0uz96004slvnd2w,PJ,male,Male,30,0,NA,0,1,NA,2,4,3,3,2,2,3,2,TRUE
bw89gy8gab3osrn778d8wjsl,WJ,female,female,43,0,NA,0,0,1,NA,7,1,1,1,1,1,1,TRUE
g7y2nxwwstv5751e30spqhg0,WJ,female,Female,46,0,NA,0,0,1,NA,4,5,3,4,4,4,4,TRUE
8aaa9gv4dtfw8erqgvpy00ri,WJ,female,Female,44,0,NA,0,1,NA,2,3,3,2,1,3,3,2,TRUE
doayjdk946gu2ftxtypfw78j,WJ,male,Male,33,0,NA,0,1,NA,1,2,5,5,3,6,6,6,TRUE
2hvrl057cslhvrn2uge932w7,PJ,female,Female,46,0,NA,0,1,NA,2,2,6,6,5,3,2,2,TRUE
ze2ngq6rasewiv0vc4why60k,PJ,male,Male,25,0,NA,0,1,NA,2,2,7,7,7,7,7,7,TRUE
anfr772fcmrgfsnljwwk9xv7,PJ,female,Female,31,0,NA,0,1,NA,2,5,4,4,4,3,3,3,TRUE
ouzo3jlzebp3rsyvpzhtwzv1,WJ,female,Female,26,0,NA,0,1,NA,2,4,5,4,5,3,5,4,TRUE
yj4qxbxcpzr9ej4wb7g8lbkp,WJ,female,female,58,0,NA,0,1,NA,1,3,6,6,5,3,3,3,TRUE
li02g2fkdh2803iz3vmv6gkh,PJ,male,Male,36,0,NA,0,1,NA,2,4,4,4,2,3,3,3,TRUE
hoj4pf72qgx1c0jqdk4pj0bu,PJ,male,Male,49,0,NA,1,1,NA,2,7,6,6,3,4,4,3,TRUE
hd9luoh6jut2vyiqwan5ziwd,PJ,female,Female,38,0,NA,0,1,NA,2,1,2,5,2,5,5,5,TRUE
y87yrsmoplvtblrlf5jpudbe,PJ,female,Female,44,0,NA,0,1,NA,2,2,6,6,6,3,3,3,TRUE
o4ag9v2hqixd9ymwwbvmt4i9,WJ,female,Female,50,0,NA,0,0,1,NA,2,5,5,3,5,5,4,TRUE
2rmg4eulki6qdogdun66771j,PJ,male,Male,33,0,NA,0,1,NA,2,3,4,6,5,4,3,4,TRUE
rifxjqularfz6txu52otezg3,WJ,male,Male,36,0,NA,0,1,NA,1,4,3,3,2,5,5,6,TRUE
h5i17ravvgb29o2nh8prcs6o,PJ,female,Female,39,0,NA,0,1,NA,2,3,4,4,2,4,2,3,TRUE
0dm3t34mconbxw79n0ixdw0r,WJ,male,male,33,0,NA,0,0,1,NA,3,5,5,5,5,5,5,TRUE
de39vm1nrm4ohib7fzuoj7zu,PJ,female,Female,31,0,NA,0,1,NA,2,5,6,4,6,2,1,1,TRUE
6fcuy0ulmmr7grhldhj8ktgs,WJ,female,Female,51,1,British,0,0,2,NA,4,2,2,2,2,2,2,TRUE
e8mxwx8m20ax0mzo6p3uqyta,PJ,female,Female,37,0,NA,0,1,NA,2,5,7,7,5,3,1,3,TRUE
tfdscsgijkuzlkudluna7rsx,PJ,female,Female,39,0,NA,0,1,NA,2,2,6,6,5,2,2,5,TRUE
3vt0eh754kfkjtauok3kjnvw,WJ,male,Male,34,0,NA,0,0,1,NA,4,4,4,4,4,4,4,TRUE
x0u13cvqbw2la2xs0e74smtc,WJ,female,female,48,0,NA,0,0,2,NA,3,6,6,2,6,6,3,TRUE
3j028hvzemin375o0iue2mzd,WJ,female,Female,26,0,NA,0,0,1,NA,3,7,7,7,6,5,6,TRUE
